Clause ID,Clause Text,Clause Type,Risk Level,Legal Reference,Risks,Suggested Alternative,Compliance Notes
167,"The service provider must comply with the agreed-upon service levels as stated in the contract.","Service Levels","Medium","Service Contracts Act","Service performance risk","Set measurable service level expectations.","Track service performance metrics."
168,"The employee is expected to attend all mandatory training sessions.","Employee Training","Medium","Labor Law","Training non-compliance risk","Provide clear schedules for training sessions.","Monitor employee attendance in training programs."
169,"The buyer agrees to make payments for delivered goods within 45 days of invoice receipt.","Payment Terms","Medium","Banking Regulations","Late payment risk","Define payment deadlines clearly.","Use automatic reminders for overdue payments."
170,"The vendor shall ensure the products are free from defects upon delivery.","Product Quality","Medium","Consumer Protection Act","Product defect risk","Include an inspection checklist in contracts.","Conduct quality assurance checks before delivery."
171,"The supplier will provide the buyer with detailed invoices, including a breakdown of costs.","Invoice Transparency","Medium","Consumer Protection Act, 2019","Invoice dispute risk","Ensure clear invoicing terms in the agreement.","Use an automated invoicing system."
172,"The buyer agrees to inspect all goods within 7 days of receipt and report any issues.","Inspection","Medium","Contract Law","Inspection delay risk","Ensure prompt inspection of delivered goods.","Provide a 7-day inspection window for buyers."
173,"The supplier must ensure that all goods are packaged in accordance with industry standards to prevent damage during transit.","Packaging","Medium","Product Safety Act","Damaged goods risk","Define packaging requirements clearly.","Use durable and protective packaging materials."
174,"The service provider agrees to offer post-delivery support for a period of 6 months.","Post-Delivery Support","Medium","Service Contracts Act","Support delay risk","Ensure clarity on the support period.","Include contact information for post-delivery support."
175,"The contractor is responsible for obtaining all necessary permits for the work.","Permits","Medium","Building Code","Permit delays risk","Provide a checklist for required permits.","Track permit approval processes."
176,"The buyer agrees to provide feedback on products within 30 days of purchase.","Feedback","Medium","Business Law","Delayed feedback risk","Encourage quick feedback from buyers.","Provide an easy method for submitting feedback."
177,"The employee is entitled to reimbursement for job-related travel expenses as per company policy.","Travel Reimbursement","Medium","Labor Law","Reimbursement delay risk","Specify reimbursement procedures in detail.","Use a travel reimbursement form for tracking."
178,"The supplier will notify the buyer of any significant delays in the delivery process.","Delivery Notification","Medium","Contract Law","Notification delay risk","Set clear notification timelines for delays.","Ensure automated notification alerts."
179,"The service provider agrees to maintain all equipment in good working condition.","Equipment Maintenance","Medium","Business Law","Equipment malfunction risk","Provide routine maintenance schedules.","Track equipment condition regularly."
180,"The contractor agrees to complete the work in compliance with local health and safety regulations.","Health and Safety Compliance","Medium","Health and Safety Regulations","Non-compliance risk","Ensure all safety measures are documented.","Provide periodic safety audits."
181,"The buyer is responsible for ensuring the goods are properly stored after delivery.","Post-Delivery Storage","Medium","Commercial Law","Storage damage risk","Provide proper storage guidelines to the buyer.","Regularly inspect storage conditions."
182,"The supplier agrees to honor any promotional pricing for bulk orders.","Pricing Terms","Medium","Trade Regulations","Pricing inconsistency risk","Clearly define pricing terms in the contract.","Use an automated system for price tracking."
183,"The employee shall notify the employer in advance in case of planned leaves.","Leave Notification","Medium","Labor Law","Leave approval delay risk","Set a leave notification procedure.","Track leave requests through HR systems."
184,"The buyer agrees to accept the goods only if they meet the agreed quality standards.","Quality Acceptance","Medium","Contract Law","Quality dispute risk","Ensure clear acceptance criteria are defined.","Use quality checklists before acceptance."
185,"The supplier shall ensure compliance with all relevant import/export regulations.","Import/Export Compliance","Medium","Customs Act","Regulatory breach risk","Define compliance measures in the contract.","Ensure that all necessary documentation is in place."
186,"The contractor shall provide all necessary documentation upon completion of the work.","Documentation","Medium","Construction Law","Incomplete documentation risk","Define required documents clearly.","Track document submission upon completion."
187,"The service provider will maintain confidentiality of all customer data in accordance with the contract.","Data Confidentiality","Medium","Data Protection Act","Confidentiality breach risk","Implement secure data handling practices.","Review confidentiality protocols regularly."
188,"The buyer is entitled to a refund if the goods do not meet the agreed specifications.","Refund Terms","Medium","Consumer Protection Act","Refund claim delay risk","Ensure clear refund procedures.","Track all refund requests promptly."
189,"The supplier shall notify the buyer of any material changes to the product before delivery.","Product Changes","Medium","Contract Law","Unnotified product changes risk","Define a clear communication protocol for changes.","Provide advance notice for any changes in products."
190,"The contractor agrees to meet the project milestones as agreed in the contract.","Project Milestones","Medium","Project Management","Milestone delays risk","Ensure that milestones are well-defined and realistic.","Track project progress through project management tools."
191,"The employee will be provided with the necessary tools and resources to perform their job.","Job Resources","Medium","Labor Law","Resource availability risk","Define clear resource allocation plans.","Regularly check that resources are up-to-date."
192,"The supplier shall inform the buyer of any changes in the pricing structure in advance.","Pricing Changes","Medium","Commercial Law","Pricing dispute risk","Provide clear guidelines on price adjustments.","Ensure price change notifications are timely."
193,"The contractor must provide a performance bond as a guarantee for contract completion.","Performance Bond","Medium","Contract Law","Non-completion risk","Define clear bond conditions in the contract.","Track bond conditions throughout the project."
194,"The buyer must comply with all applicable taxes for the goods purchased.","Tax Compliance","Medium","Taxation Law","Tax compliance risk","Specify tax obligations in the contract.","Ensure that tax calculations are accurate."
195,"The supplier shall provide a list of all available product options to the buyer.","Product Options","Medium","Business Law","Limited product options risk","Ensure that the list is up-to-date and complete.","Provide detailed product specifications."
196,"The service provider agrees to fix any software bugs within 15 days of reporting.","Bug Fixing","Medium","Consumer Protection Act","Bug delay risk","Define clear timelines for bug fixing.","Ensure quick response for critical issues."
197,"The buyer shall provide proof of insurance for goods in transit.","Insurance Proof","Medium","Commercial Law","Insurance claim risk","Define insurance coverage terms clearly.","Ensure insurance documentation is up-to-date."
198,"The contractor shall provide a warranty on work completed for a period of 1 year.","Work Warranty","Medium","Construction Law","Warranty claim risk","Specify warranty terms in the contract.","Track warranty claims efficiently."
199,"The supplier agrees to offer training to the buyer on using the delivered product.","Training","Medium","Consumer Protection Act","Training delays risk","Define clear training schedules.","Track training completion rates."
200,"The employee is entitled to a severance package if terminated without cause.","Severance Pay","Medium","Labor Law","Severance dispute risk","Define severance pay terms clearly.","Ensure severance calculations are accurate."
